iter	Passed	Remaining
0	57	57628
1	57	28935
2	58	19387
3	58	14590
4	58	11723
5	59	9818
6	59	8449
7	59	7416
8	60	6615
9	60	5980
10	60	5454
11	60	5016
12	61	4647
13	61	4327
14	61	4050
15	61	3810
16	62	3597
17	62	3408
18	62	3239
19	62	3086
20	63	2950
21	63	2826
22	63	2711
23	64	2605
24	64	2509
25	64	2420
26	65	2342
27	65	2265
28	65	2195
29	65	2129
30	66	2068
31	66	2009
32	66	1954
33	67	1904
34	67	1855
35	67	1809
36	67	1766
37	68	1723
38	68	1684
39	68	1647
40	68	1611
41	69	1578
42	69	1547
43	69	1517
44	70	1487
45	70	1459
46	70	1432
47	70	1406
48	71	1381
49	71	1358
50	72	1340
51	72	1321
52	72	1299
53	73	1279
54	73	1259
55	73	1240
56	73	1223
57	74	1205
58	74	1187
59	74	1170
60	75	1154
61	75	1139
62	75	1125
63	75	1110
64	76	1097
65	76	1084
66	76	1071
67	77	1058
68	77	1046
69	77	1034
70	78	1024
71	78	1011
72	78	1000
73	79	990
74	79	979
75	79	969
76	80	959
77	80	949
78	80	940
79	81	931
80	81	922
81	81	913
82	81	902
83	81	893
84	82	885
85	82	877
86	82	869
87	83	861
88	83	853
89	83	846
90	84	840
91	84	832
92	84	825
93	84	819
94	85	812
95	85	806
96	86	800
97	86	794
98	86	788
99	86	782
100	87	776
101	87	770
102	87	764
103	88	759
104	88	753
105	88	747
106	88	742
107	89	736
108	89	731
109	89	726
110	89	720
111	90	715
112	90	710
113	90	705
114	91	700
115	91	695
116	91	691
117	91	687
118	92	682
119	92	678
120	92	673
121	92	668
122	93	664
123	93	660
124	93	656
125	94	652
126	94	647
127	94	643
128	94	640
129	95	636
130	95	633
131	95	629
132	96	626
133	96	622
134	96	619
135	96	616
136	97	612
137	97	608
138	97	605
139	98	602
140	98	599
141	98	595
142	98	591
143	99	589
144	99	586
145	99	583
146	100	581
147	101	582
148	101	579
149	101	576
150	102	573
151	102	571
152	102	568
153	102	565
154	103	562
155	103	560
156	103	558
157	104	555
158	104	552
159	104	550
160	104	546
161	105	544
162	105	541
163	105	539
164	106	537
165	106	534
166	106	532
167	106	529
168	107	527
169	107	524
170	107	522
171	108	520
172	108	518
173	108	516
174	109	514
175	109	512
176	109	510
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	497
183	111	495
184	111	493
185	112	491
186	112	488
187	112	486
188	112	484
189	113	482
190	113	480
191	113	478
192	114	477
193	114	475
194	114	473
195	115	472
196	115	470
197	115	468
198	115	466
199	116	465
200	116	463
201	116	461
202	117	459
203	117	458
204	117	456
205	117	454
206	118	452
207	118	451
208	118	450
209	119	448
210	119	446
211	119	445
212	120	443
213	120	441
214	120	440
215	120	438
216	121	437
217	121	435
218	121	434
219	122	432
220	122	431
221	122	429
222	123	428
223	123	427
224	123	425
225	123	424
